assay;sd threshold;severe sepsis outcome average;nonsevere sepsis outcome average;IAF_normals;IAF_lowerbound;IAF upperbound;abs_difference_sepsissevere_IAF ;lower for baseline 0;upper for baseline 0;difference_sepsissevere_IAF ;difference_sepsisnonsevere_IAF 
SCF;0.265214243;8.422056596;8.616268474;9.332165667;8.830705378;9.841089313;0.910109071;-0.398901143;0.674435272;-0.910109071;-0.715897193
SIRT2;0.250046807;6.990167021;6.772352857;2.939462722;2.380418043;3.562182507;4.050704299;-0.637167107;1.338963948;4.050704299;3.832890135
SLAMF1;0.374635438;2.393344362;2.329928344;1.870376333;1.413592603;2.28438243;0.522968028;-0.24427204;0.177786185;0.522968028;0.459552011
ST1A1;0.467212873;3.351247766;3.167690455;1.421343611;0.958521107;2.484186765;1.929904155;-0.306370791;0.261882234;1.929904155;1.746346844
STAMBP;0.219840245;7.224975851;7.0444875;4.213562389;3.765061215;4.824134743;3.011413462;-0.431818958;0.291281075;3.011413462;2.830925111
TGF.alpha;0.216720209;6.448356702;5.717768831;3.156590056;2.76203239;3.701295233;3.291766647;-0.501460288;0.508923647;3.291766647;2.561178775
TNF;0.345199898;5.511999149;5.383624838;3.067030389;2.429863282;4.405994337;2.44496876;-0.348123498;0.449933511;2.44496876;2.316594449
TNFB;0.229125632;4.128582872;4.40059;4.861619722;4.150916978;5.308871953;0.73303685;-1.619861396;1.058940137;-0.73303685;-0.461029722
TNFRSF9;0.175880207;8.285043085;7.93052026;6.773259278;6.242408018;8.125720847;1.511783807;-0.580520482;1.565731258;1.511783807;1.157260982
TNFSF14;0.272505722;6.682609787;6.226140552;3.755568056;3.247543465;4.326213708;2.927041732;-0.269762451;1.031540686;2.927041732;2.470572496
TRAIL;0.20335368;7.129599681;7.342820032;8.067296;7.656341322;8.413558385;0.937696319;-0.422859338;2.058889207;-0.937696319;-0.724475968
TRANCE;0.222882234;2.80028734;3.041322597;4.531989056;3.591429467;5.350586425;1.731701715;-0.271083913;0.594841258;-1.731701715;-1.490666459
TSLP;0.62614831;0.728960957;0.606066396;0.979993889;0.645608448;1.736850683;0.251032931;-0.813854218;1.011427757;-0.251032931;-0.373927493
TWEAK;0.3710626;9.572895957;9.521382662;9.480589389;8.920623758;9.902162453;0.092306569;-0.287806838;0.96496056;0.092306569;0.040793273
uPA;0.303965081;10.53591149;10.52299052;10.12266311;9.67798941;10.42959068;0.413248378;-1.031946113;0.617272044;0.413248378;0.400327409
VEGFA;0.308588287;12.36541457;12.0994687;10.49496989;10.03147792;11.12441789;1.870444686;-0.155656355;0.198326228;1.870444686;1.604498811
